date,store,item,day,month,year,dayofweek,weekofyear,is_weekend
2018-01-01,S,P,1,1,2018,0,1,0
2018-01-02,S,P,2,1,2018,1,1,1
2018-01-03,S,P,3,1,2018,2,1,2
2018-01-04,S,P,4,1,2018,3,1,3
2018-01-05,S,P,5,1,2018,4,1,4
2018-01-06,S,P,6,1,2018,5,1,5
2018-01-07,S,P,7,1,2018,6,1,6
2018-01-08,S,P,8,1,2018,0,2,0
2018-01-09,S,P,9,1,2018,1,2,1
2018-01-10,S,P,10,1,2018,2,2,2
2018-01-11,S,P,11,1,2018,3,2,3
2018-01-12,S,P,12,1,2018,4,2,4
2018-01-13,S,P,13,1,2018,5,2,5
2018-01-14,S,P,14,1,2018,6,2,6
2018-01-15,S,P,15,1,2018,0,3,0
2018-01-16,S,P,16,1,2018,1,3,1
2018-01-17,S,P,17,1,2018,2,3,2
2018-01-18,S,P,18,1,2018,3,3,3
2018-01-19,S,P,19,1,2018,4,3,4
2018-01-20,S,P,20,1,2018,5,3,5
2018-01-21,S,P,21,1,2018,6,3,6
2018-01-22,S,P,22,1,2018,0,4,0
2018-01-23,S,P,23,1,2018,1,4,1
2018-01-24,S,P,24,1,2018,2,4,2
2018-01-25,S,P,25,1,2018,3,4,3
2018-01-26,S,P,26,1,2018,4,4,4
2018-01-27,S,P,27,1,2018,5,4,5
2018-01-28,S,P,28,1,2018,6,4,6
2018-01-29,S,P,29,1,2018,0,5,0
2018-01-30,S,P,30,1,2018,1,5,1
2018-01-31,S,P,31,1,2018,2,5,2
